timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1537171539161,27,SignUp,200,,Scenario 1 1-75,true,,160,1,1,26,0,4
1537171539195,14,SignUp,200,,Scenario 1 1-76,true,,160,1,1,14,0,2
1537171539228,13,SignUp,200,,Scenario 1 1-77,true,,160,1,1,13,0,2
1537171539261,16,SignUp,200,,Scenario 1 1-78,true,,160,1,1,16,0,2
1537171539295,14,SignUp,200,,Scenario 1 1-79,true,,160,1,1,14,0,2
1537171539328,16,SignUp,200,,Scenario 1 1-80,true,,160,1,1,16,0,3
1537171539361,18,SignUp,200,,Scenario 1 1-81,true,,160,1,1,18,0,2
1537171539395,16,SignUp,200,,Scenario 1 1-82,true,,160,1,1,16,0,3
1537171539427,15,SignUp,200,,Scenario 1 1-83,true,,160,1,1,15,0,3
1537171539461,18,SignUp,200,,Scenario 1 1-84,true,,160,1,1,18,0,2
1537171539495,18,SignUp,200,,Scenario 1 1-85,true,,160,1,1,18,0,4
1537171539528,18,SignUp,200,,Scenario 1 1-86,true,,160,1,1,17,0,3
1537171539560,19,SignUp,200,,Scenario 1 1-87,true,,160,1,1,19,0,3
1537171539594,18,SignUp,200,,Scenario 1 1-88,true,,160,1,1,18,0,5
1537171539626,8,SignUp,200,,Scenario 1 1-89,true,,160,1,1,8,0,1
1537171539659,6,SignUp,200,,Scenario 1 1-90,true,,160,1,1,6,0,1
1537171539695,18,SignUp,200,,Scenario 1 1-91,true,,160,1,1,18,0,3
1537171539728,16,SignUp,200,,Scenario 1 1-92,true,,160,1,1,16,0,3
1537171539762,18,SignUp,200,,Scenario 1 1-93,true,,160,1,1,18,0,3
1537171539796,18,SignUp,200,,Scenario 1 1-94,true,,160,1,1,18,0,3
1537171539830,19,SignUp,200,,Scenario 1 1-95,true,,160,1,1,19,0,4
1537171539862,19,SignUp,200,,Scenario 1 1-96,true,,160,1,1,19,0,4
1537171539896,17,SignUp,200,,Scenario 1 1-97,true,,160,1,1,17,0,3
1537171539927,10,SignUp,200,,Scenario 1 1-98,true,,160,1,1,10,0,2
1537171539960,9,SignUp,200,,Scenario 1 1-99,true,,160,1,1,9,0,1
1537171539993,11,SignUp,200,,Scenario 1 1-100,true,,160,1,1,11,0,1
1537171540027,9,SignUp,200,,Scenario 1 1-101,true,,160,1,1,9,0,1
1537171540060,13,SignUp,200,,Scenario 1 1-102,true,,160,1,1,13,0,2
1537171540094,21,SignUp,200,,Scenario 1 1-103,true,,160,1,1,21,0,3
1537171540136,65,SignUp,200,,Scenario 1 1-104,true,,160,3,3,65,0,4
1537171540167,50,SignUp,200,,Scenario 1 1-105,true,,160,2,2,50,0,4
1537171540195,27,SignUp,200,,Scenario 1 1-106,true,,160,1,1,27,0,2
1537171540228,9,SignUp,200,,Scenario 1 1-107,true,,160,1,1,9,0,2
1537171540261,9,SignUp,200,,Scenario 1 1-108,true,,160,1,1,9,0,1
1537171540293,9,SignUp,200,,Scenario 1 1-109,true,,160,1,1,9,0,2
1537171540327,10,SignUp,200,,Scenario 1 1-110,true,,160,1,1,10,0,2
1537171540360,17,SignUp,200,,Scenario 1 1-111,true,,160,1,1,17,0,3
1537171540393,18,SignUp,200,,Scenario 1 1-112,true,,160,1,1,17,0,3
1537171540427,18,SignUp,200,,Scenario 1 1-113,true,,160,1,1,18,0,4
1537171540460,16,SignUp,200,,Scenario 1 1-114,true,,160,1,1,16,0,3
1537171540494,17,SignUp,200,,Scenario 1 1-115,true,,160,1,1,17,0,2
1537171540528,14,SignUp,200,,Scenario 1 1-116,true,,160,1,1,14,0,2
1537171540560,17,SignUp,200,,Scenario 1 1-117,true,,160,1,1,17,0,3
1537171540593,21,SignUp,200,,Scenario 1 1-118,true,,160,1,1,21,0,4
1537171540628,17,SignUp,200,,Scenario 1 1-119,true,,160,1,1,17,0,3
1537171540660,18,SignUp,200,,Scenario 1 1-120,true,,160,1,1,18,0,3
1537171540693,11,SignUp,200,,Scenario 1 1-121,true,,160,1,1,11,0,2
1537171540726,8,SignUp,200,,Scenario 1 1-122,true,,160,1,1,8,0,1
1537171540761,18,SignUp,200,,Scenario 1 1-123,true,,160,1,1,18,0,2
1537171540794,13,SignUp,200,,Scenario 1 1-124,true,,160,1,1,13,0,2
1537171540827,21,SignUp,200,,Scenario 1 1-125,true,,160,1,1,21,0,3
1537171540861,19,SignUp,200,,Scenario 1 1-126,true,,160,1,1,19,0,3
1537171540895,21,SignUp,200,,Scenario 1 1-127,true,,160,1,1,21,0,4
1537171540928,62,SignUp,200,,Scenario 1 1-128,true,,160,2,2,62,0,3
1537171540962,41,SignUp,200,,Scenario 1 1-129,true,,160,2,2,41,0,4
1537171540994,13,SignUp,200,,Scenario 1 1-130,true,,160,1,1,12,0,3
1537171541026,6,SignUp,200,,Scenario 1 1-131,true,,160,1,1,6,0,1
1537171541059,7,SignUp,200,,Scenario 1 1-132,true,,160,1,1,7,0,2
1537171541094,13,SignUp,200,,Scenario 1 1-133,true,,160,1,1,13,0,2
1537171541127,8,SignUp,200,,Scenario 1 1-134,true,,160,1,1,8,0,1
1537171541160,6,SignUp,200,,Scenario 1 1-135,true,,160,1,1,6,0,0
1537171541193,7,SignUp,200,,Scenario 1 1-136,true,,160,1,1,7,0,1
1537171541227,10,SignUp,200,,Scenario 1 1-137,true,,160,1,1,10,0,2
1537171541260,23,SignUp,200,,Scenario 1 1-138,true,,160,1,1,23,0,4
1537171541294,18,SignUp,200,,Scenario 1 1-139,true,,160,1,1,17,0,3
1537171541326,17,SignUp,200,,Scenario 1 1-140,true,,160,1,1,16,0,3
1537171541363,81,SignUp,200,,Scenario 1 1-141,true,,160,3,3,81,0,9
1537171541428,16,SignUp,200,,Scenario 1 1-143,true,,160,2,2,16,0,3
1537171541397,49,SignUp,200,,Scenario 1 1-142,true,,160,1,1,49,0,11
1537171541459,17,SignUp,200,,Scenario 1 1-144,true,,160,1,1,17,0,2
1537171541493,11,SignUp,200,,Scenario 1 1-145,true,,160,1,1,11,0,1
1537171541526,6,SignUp,200,,Scenario 1 1-146,true,,160,1,1,6,0,1
1537171541560,18,SignUp,200,,Scenario 1 1-147,true,,160,1,1,18,0,3
1537171541594,29,SignUp,200,,Scenario 1 1-148,true,,160,1,1,29,0,4
1537171541629,58,SignUp,200,,Scenario 1 1-149,true,,160,2,2,58,0,4
1537171541660,36,SignUp,200,,Scenario 1 1-150,true,,160,2,2,36,0,4
1537171541693,8,SignUp,200,,Scenario 1 1-151,true,,160,1,1,8,0,1
1537171541726,6,SignUp,200,,Scenario 1 1-152,true,,160,1,1,6,0,1
1537171541760,10,SignUp,200,,Scenario 1 1-153,true,,160,1,1,10,0,1
1537171541793,7,SignUp,200,,Scenario 1 1-154,true,,160,1,1,7,0,1
1537171541827,19,SignUp,200,,Scenario 1 1-155,true,,160,1,1,19,0,2
1537171541860,15,SignUp,200,,Scenario 1 1-156,true,,160,1,1,15,0,2
1537171541894,18,SignUp,200,,Scenario 1 1-157,true,,160,1,1,18,0,3
1537171541929,29,SignUp,200,,Scenario 1 1-158,true,,160,1,1,29,0,3
1537171541964,47,SignUp,200,,Scenario 1 1-159,true,,160,2,2,47,0,3
1537171541993,24,SignUp,200,,Scenario 1 1-160,true,,160,1,1,24,0,2
1537171542026,9,SignUp,200,,Scenario 1 1-161,true,,160,1,1,9,0,1
1537171542058,10,SignUp,200,,Scenario 1 1-162,true,,160,1,1,10,0,2
1537171542094,9,SignUp,200,,Scenario 1 1-163,true,,160,1,1,9,0,1
1537171542126,21,SignUp,200,,Scenario 1 1-164,true,,160,1,1,21,0,6
1537171542159,19,SignUp,200,,Scenario 1 1-165,true,,160,1,1,19,0,1
1537171542193,10,SignUp,200,,Scenario 1 1-166,true,,160,1,1,9,0,2
1537171542226,6,SignUp,200,,Scenario 1 1-167,true,,160,1,1,6,0,1
1537171542259,7,SignUp,200,,Scenario 1 1-168,true,,160,1,1,7,0,1
1537171542293,4,SignUp,200,,Scenario 1 1-169,true,,160,1,1,4,0,0
1537171542327,17,SignUp,200,,Scenario 1 1-170,true,,160,1,1,17,0,4
1537171542361,29,SignUp,200,,Scenario 1 1-171,true,,160,1,1,29,0,4
1537171542399,30,SignUp,200,,Scenario 1 1-172,true,,160,2,2,30,0,8
1537171542432,18,SignUp,200,,Scenario 1 1-173,true,,160,1,1,18,0,6
1537171542459,8,SignUp,200,,Scenario 1 1-174,true,,160,1,1,8,0,2
1537171542493,7,SignUp,200,,Scenario 1 1-175,true,,160,1,1,7,0,1
1537171542526,6,SignUp,200,,Scenario 1 1-176,true,,160,1,1,6,0,1
1537171542559,9,SignUp,200,,Scenario 1 1-177,true,,160,1,1,9,0,2
1537171542594,14,SignUp,200,,Scenario 1 1-178,true,,160,1,1,14,0,3
1537171542627,14,SignUp,200,,Scenario 1 1-179,true,,160,1,1,14,0,2
1537171542662,17,SignUp,200,,Scenario 1 1-180,true,,160,1,1,16,0,2
1537171542693,15,SignUp,200,,Scenario 1 1-181,true,,160,1,1,15,0,3
1537171542728,14,SignUp,200,,Scenario 1 1-182,true,,160,1,1,14,0,2
1537171542760,14,SignUp,200,,Scenario 1 1-183,true,,160,1,1,14,0,3
1537171542794,13,SignUp,200,,Scenario 1 1-184,true,,160,1,1,13,0,2
1537171542827,13,SignUp,200,,Scenario 1 1-185,true,,160,1,1,13,0,2
1537171542860,13,SignUp,200,,Scenario 1 1-186,true,,160,1,1,13,0,2
1537171542894,13,SignUp,200,,Scenario 1 1-187,true,,160,1,1,13,0,2
1537171542927,15,SignUp,200,,Scenario 1 1-188,true,,160,1,1,15,0,2
1537171542960,18,SignUp,200,,Scenario 1 1-189,true,,160,1,1,18,0,5
1537171542994,20,SignUp,200,,Scenario 1 1-190,true,,160,1,1,20,0,3
1537171543026,9,SignUp,200,,Scenario 1 1-191,true,,160,1,1,9,0,2
1537171543060,12,SignUp,200,,Scenario 1 1-192,true,,160,1,1,12,0,2
1537171543093,14,SignUp,200,,Scenario 1 1-193,true,,160,1,1,14,0,3
1537171543128,73,SignUp,200,,Scenario 1 1-194,true,,160,3,3,73,0,3
1537171543166,52,SignUp,200,,Scenario 1 1-195,true,,160,2,2,52,0,3
1537171543194,65,SignUp,200,,Scenario 1 1-196,true,,160,3,3,65,0,4
1537171543230,40,SignUp,200,,Scenario 1 1-197,true,,160,2,2,40,0,3
1537171543259,15,SignUp,200,,Scenario 1 1-198,true,,160,1,1,15,0,2
